loss,PSNR,val_loss,val_PSNR
0.005434057425591163,25.191190719604492,0.002263058657408692,27.609560012817383
0.0018367285979911684,28.21042251586914,0.0016570287910872138,28.517484664916992
0.0021320369365275837,27.84637451171875,0.0015898173183086328,28.887014389038086
0.001607794510491658,28.700021743774414,0.0015773317351704464,28.88088607788086
0.0016586768283741548,28.69782257080078,0.0014856324734864757,29.008058547973633
0.001666019089607289,28.788978576660156,0.0015306496480479836,29.21633529663086
0.0015239830710925162,29.074201583862305,0.0018034722059383057,28.644189834594727
0.0014810226336703636,29.150915145874023,0.0013585330059868283,29.513734817504883
0.001857302101852838,28.54062271118164,0.0023737235317821616,27.5859432220459
0.0016145900421543047,28.865968704223633,0.0016036474783322774,28.55999183654785
0.0016784408589592204,28.865821838378906,0.002252600428764708,27.498023986816406
