loss,PSNR,val_loss,val_PSNR
0.006908449530601502,23.545549392700195,0.002167852234560996,26.810760498046875
0.002395592222455889,26.331592559814453,0.0020320786978118123,27.096118927001953
0.0017366130894515663,27.736257553100586,0.0017913160379976034,27.605846405029297
0.0017021541309077293,27.87285804748535,0.0016144216759130358,28.16693115234375
0.0015839058673009277,28.103906631469727,0.0016312231367919595,28.094213485717773
0.0015501685003982857,28.374469757080078,0.0018417098792269826,27.644418716430664
0.0015044267987832428,28.436115264892578,0.0014510503446217627,28.629039764404297
0.0017770287377061322,27.744220733642578,0.0016444449516711756,28.036392211914062
0.001683823758503422,27.99588394165039,0.0016035958018619568,28.25071144104004
0.0015289237227989361,28.397024154663086,0.001363156724255532,29.007720947265625
0.0016653644852340221,27.980846405029297,0.0016350496734958142,28.024974822998047
0.00133853180159349,28.991283416748047,0.001368786141392775,28.89907455444336
0.001483578237821348,28.515117645263672,0.0013839569874107838,28.732097625732422
