loss,PSNR,val_loss,val_PSNR
0.04478952945210039,15.247842788696289,0.015760704502463342,18.053726196289062
0.015618709730915725,18.862199783325195,0.004281795956194401,23.756515502929688
0.0035738265025429426,24.906431198120117,0.0018618392292410134,27.382038116455078
0.0018731895717792213,27.35991859436035,0.0018179211649112404,27.516000747680664
0.001686223060823977,27.818927764892578,0.0018761956132948398,27.355880737304688
0.0016634684056043626,27.856395721435547,0.001531192776747048,28.255334854125977
0.0015810106415301561,28.184185028076172,0.0017763113835826516,27.651355743408203
0.0016008750069886446,28.043682098388672,0.0015204497263766824,28.283273696899414
0.0014605537755414844,28.41990089416504,0.0016533610760234296,27.963088989257812
0.0013837997685186565,28.734386444091797,0.0013985405617859214,28.659353256225586
0.0013978558476082982,28.602914810180664,0.00139095441554673,28.748830795288086
0.0016418467042967678,27.958715438842773,0.0015849096816964447,28.122234344482422
0.001693462545517832,27.814870834350586,0.0018754232325591147,27.41079330444336
